clinic_name,address,clinic_street,clinic_number,clinic_city,clinic_county,clinic_other_details,something
Onco Team Diagnostic,Splaiul Unirii Nr. 313A etaj 1 sector 3 Bucuresti,Splaiul Unirii,Nr. 313A,Sector 3,Bucuresti,etaj 1,Mihai
Ophtamax,"B-dul. Independentei Nr. 18APrahova, Ploiesti",B-dul. Independentei,Nr. 18A,Ploiesti,Prahova,,Mihai
Opticlass Bacau,"Str. 9 Mai Nr. 29Bacau, Bacau",Str. 9 Mai,Nr. 29,Bacau,Bacau,,Mihai
Opticlass Piatra Neamt,"Piata Stefan cel Mare Nr. 12Neamt, Piatra Neamt",Piata Stefan cel Mare,Nr. 12,Piatra Neamt,Neamt,,Mihai
Opticlass Timisoara,"Str. Coriolan Brediceanu Nr. 29Timis, Timisoara",Str. Coriolan Brediceanu,Nr. 29,Timisoara,Timis,,Mihai
Opticristal - Clinica de Chirurgie Oftalmologica,"Str. Cezar Boliac Nr. 12Brasov, Brasov",Str. Cezar Boliac,Nr. 12,Brasov,Brasov,,Mihai
Optim Sano,Str. Salcamilor Nr. 6A sector 2 Bucuresti,Str. Salcamilor,Nr. 6A,Sector 2,Bucuresti,,Mihai
Opus Med,"B-dul Basarabia Nr. 19 et. 2 cam. 35, 36 Bucuresti",B-dul Basarabia,Nr. 19,***,Bucuresti,"et. 2 cam. 35, 36",Mihai
Oral Dent,Str. Aurel Vlaicu Nr. 158 sector 2 Bucuresti,Str. Aurel Vlaicu,Nr. 158,Sector 2,Bucuresti,,Mihai
Oral Design Aiud,"Str. Transilvaniei Nr. 52Alba, Aiud",Str. Transilvaniei,Nr. 52,Aiud,Alba,,Mihai
Oral Design Alba,"Bd. Revolutiei 1989 Nr. 23AAlba, Alba Iulia",Bd. Revolutiei 1989,Nr. 23A,Alba Iulia,Alba,,Mihai
ORL ENDOCLINIC,"STR. SILVESTRU NR. 3, MEZANIN, CABINET NR. 4, BL. L3Iasi, Iasi",STR. SILVESTRU,NR. 3,Iasi,Iasi,"MEZANIN, CABINET NR. 4, B",Mihai
ORL Prolife,,,,,,,Mihai
Orto Care,Calea Vitan Nr. 108 bl. V35 sc. 2 ap. 39 parter sector 3 Bucuresti,Calea Vitan,Nr. 108,Sector 3,Bucuresti,bl. V35 sc. 2 ap. 39 part,Mihai
Orto-Clinic,Splaiul Independentei Nr. 202 sector 6 Bucuresti,Splaiul Independentei,Nr. 202,Sector 6,Bucuresti,,Mihai
Ortokinetic - Kinetic Land,Bulevardul Dacia Nr. 65 Bucuresti,Bulevardul Dacia,Nr. 65,***,Bucuresti,,Mihai
Ortokinetic Doribanti 2,Intrarea Bitolia Nr. 14 Bucuresti,Intrarea Bitolia,Nr. 14,***,Bucuresti,,Mihai
Ortokinetic Piata Dorobanti,Str. Bitolia Nr. 44 Bucuresti,Str. Bitolia,Nr. 44,***,Bucuresti,,Mihai
Ortokinetic Piata Timpuri Noi,Piata Timpuri Noi  - la etaj Bucuresti,Piata Timpuri Noi,,***,Bucuresti,- la etaj,Mihai
Ortokinetic Tunari,Pipera-Tunari Nr. 58 Bucuresti,Pipera-Tunari,Nr. 58,***,Bucuresti,,Mihai
Ovidius Clinical Hospital,"DN 2A, km 202+880Constanta, Ovidiu",,,Ovidiu,Constanta,"DN 2A, km 202+880",Mihai
Ozone Medicine,B-dul Regina Maria Nr. 1 bl. P5B sc. 1 et. 1 sector 4 Bucuresti,B-dul Regina Maria,Nr. 1,Sector 4,Bucuresti,bl. P5B sc. 1 et. 1,Mihai
PedoDent,"B-dul Ion Andreescu Nr. 17AConstanta, Constanta",B-dul Ion Andreescu,Nr. 17A,Constanta,Constanta,,Mihai
Pelident Iuliu Maniu,B-dul Iuliu Maniu Nr. 94-100 bl. 18 sc. 3 ap. 84 sector 6 Bucuresti,B-dul Iuliu Maniu,Nr. 94-100,Sector 6,Bucuresti,bl. 18 sc. 3 ap. 84,Mihai
Pelident Serbota,Str. Serbota Nr. 11 bl. V19 sc. 1 ap. 11 sector 5 Bucuresti,Str. Serbota,Nr. 11,Sector 5,Bucuresti,bl. V19 sc. 1 ap. 11,Mihai
Pentamed,"Strada Pitesti, Nr. 163Olt, Slatina",Strada Pitesti,Nr. 163,Slatina,Olt,,Mihai
Perfect Lines,Str. Naum Ramniceanu Nr. 45A sector 1 Bucuresti,Str. Naum Ramniceanu,Nr. 45A,Sector 1,Bucuresti,,Mihai
Perfect Lines Targu Jiu,"Str. Corneliu Coposu (colt cu str. Carpati) Bl. 3, sc. 1, ap. 4, interfon 4Gorj, Targu Jiu",Str. Corneliu Coposu (colt cu str. Carpati),,Targu Jiu,Gorj,"Bl. 3, sc. 1, ap. 4, inte",Mihai
Personal Genetics,Str. Frumoasa Nr. 4 sector 1 Bucuresti,Str. Frumoasa,Nr. 4,Sector 1,Bucuresti,,Mihai
Phoenix Severinului - Medicover,,,,,,,Mihai
Phoenix Siretului - Medicover,,,,,,,Mihai
Phoenix Slatina - Medicover,,,,,,,Mihai
Phoenix Stefan cel Mare - Medicover,,,,,,,Mihai
Phoenix Targu Jiu - Medicover,,,,,,,Mihai
Piano Cabinet,Str. Monetariei Nr. 12 ap. 3 sector 1 Bucuresti,Str. Monetariei,Nr. 12,Sector 1,Bucuresti,ap. 3,Mihai
PiQ Clinic,B-dul. Dacia Nr. 38 et. 1 ap. 2 sector 1 Bucuresti,B-dul. Dacia,Nr. 38,Sector 1,Bucuresti,et. 1 ap. 2,Mihai
Plaza Mediclinic,B-dul Timisora Nr. 69A bl. C13B sc. A sector 6 Bucuresti,B-dul Timisora,Nr. 69A,Sector 6,Bucuresti,bl. C13B sc. A,Mihai
PoeMedica,Bd. 1 Mai (Compozitorilor) Nr. 24 sector 6 Bucuresti,Bd. 1 Mai (Compozitorilor),Nr. 24,Sector 6,Bucuresti,,Mihai
Poliana - Punct de recoltare - Malcoci,"Str. Malcoci Nr. 4,= etaj. 2 Cam. 231 Bucuresti",Str. Malcoci,"Nr. 4,=",***,Bucuresti,etaj. 2 Cam. 231,Mihai
Poliana - Punct de recoltare - Ritmului,Str. Ritmului Nr. 2 bl. 439 parter Sector 2 Bucuresti,Str. Ritmului,Nr. 2,Sector 2,Bucuresti,bl. 439 parter,Mihai
Poliana Laborator Brasov,"B-dul 15 Noiembrie Nr. 60Brasov, Brasov",B-dul 15 Noiembrie,Nr. 60,Brasov,Brasov,,Mihai
Poliana Laborator Brasov 2,"Str. Zizinului Nr. 25Brasov, Brasov",Str. Zizinului,Nr. 25,Brasov,Brasov,,Mihai
Poliana Laborator Constanta,"Str. Dr. Alex. S. Marcovici Nr. 1Constanta, Constanta",Str. Dr. Alex. S. Marcovici,Nr. 1,Constanta,Constanta,,Mihai
Poliana Laborator Constanta 2,"B-dul Mamaia Nr. 284Constanta, Constanta",B-dul Mamaia,Nr. 284,Constanta,Constanta,,Mihai
Poliana Laborator Dudesti,Calea Dudesti Nr. 104-122 Etaj 1 Cam. 156 Bucuresti,Calea Dudesti,Nr. 104-122,***,Bucuresti,Etaj 1 Cam. 156,Mihai
Poliana Laborator Mioveni,"Str. Caranesti Nr. 1 etaj 1Arges, Mioveni",Str. Caranesti,Nr. 1,Mioveni,Arges,etaj 1,Mihai
Poliana Laborator Pitesti,"B-dul IC Bratianu  Bl. D6 parterArges, Pitesti",B-dul IC Bratianu,,Pitesti,Arges,Bl. D6 parter,Mihai
Poliana Laborator Ploiesti,"Str. Domnisori Nr. 93Prahova, Ploiesti",Str. Domnisori,Nr. 93,Ploiesti,Prahova,,Mihai
Poliana Laborator Ploiesti 2,"Str. Valeni Nr. 24Prahova, Ploiesti",Str. Valeni,Nr. 24,Ploiesti,Prahova,,Mihai
Poliana Laborator Predeal,"Str. Mihail Saulescu Nr. 60Brasov, Predeal",Str. Mihail Saulescu,Nr. 60,Predeal,Brasov,,Mihai
Poliana Laborator Sibiu,"Str. Justitiei Nr. 4Sibiu, Sibiu",Str. Justitiei,Nr. 4,Sibiu,Sibiu,,Mihai
Poliana Laborator Targu - Mures,"Str. Nicolae Grigorescu Nr. 33Mures, Targu Mures",Str. Nicolae Grigorescu,Nr. 33,Targu Mures,Mures,,Mihai
Poliana Laborator Targu-Mures 2,"Str. Liviu Rebreanu Nr. 31Mures, Targu Mures",Str. Liviu Rebreanu,Nr. 31,Targu Mures,Mures,,Mihai
Poliana Laborator Zarnesti,"Str. Policinicii Nr. 12Brasov, Zarnesti",Str. Policinicii,Nr. 12,Zarnesti,Brasov,,Mihai
Policinica Dr. Turcin,"Str. Episcop Roman Ciorogariu Nr. 52Arad, Arad",Str. Episcop Roman Ciorogariu,Nr. 52,Arad,Arad,,Mihai
Policlinica Algomed,"Strada Lucian Blaga Nr. 4Timis, Timisoara",Strada Lucian Blaga,Nr. 4,Timisoara,Timis,,Mihai
Policlinica Astra,"Str. Grigore Alexandrescu Nr. 1Sibiu, Sibiu",Str. Grigore Alexandrescu,Nr. 1,Sibiu,Sibiu,,Mihai
Policlinica Bethesda - Suceava,"Calea Unirii Nr. 25 bisSuceava, Suceava",Calea Unirii,Nr. 25,Suceava,Suceava,bis,Mihai
Policlinica Boia,"Str. Gospodarilor Nr. 42Timis, Timisoara",Str. Gospodarilor,Nr. 42,Timisoara,Timis,,Mihai
Policlinica Carit-San,"Str. Mihai Viteazul Nr.42Mures, Targu Mures",Str. Mihai Viteazul,Nr. 42,Targu Mures,Mures,,Mihai
Policlinica Centrala Dr. Vlaescu,"B-dul 1 Mai Nr. 24Dolj, Craiova",B-dul 1 Mai,Nr. 24,Craiova,Dolj,,Mihai
Policlinica Complemed,"Strada Carei Nr. 9BTimis, Timisoara",Strada Carei,Nr. 9B,Timisoara,Timis,,Mihai
Policlinica CoraMed Suceava,"Str. Morii Nr. 12Suceava, Suceava",Str. Morii,Nr. 12,Suceava,Suceava,,Mihai
Policlinica cu Plata - Constanta,,,,,,,Mihai
Policlinica cu Plata - Ploiesti,"Str. Decebal Nr. 5Prahova, Ploiesti",Str. Decebal,Nr. 5,Ploiesti,Prahova,,Mihai
Policlinica Dentara Botosani,"Strada Marchian Nr. 9Botosani, Botosani",Strada Marchian,Nr. 9,Botosani,Botosani,,Mihai
Policlinica Diamed Sibiu,"Str. Poet Dimitrie Anghel Nr. 11Sibiu, Sibiu",Str. Poet Dimitrie Anghel,Nr. 11,Sibiu,Sibiu,,Mihai
Policlinica Dr. Citu,"B-dul Victor Babes Nr. 27Timis, Timisoara",B-dul Victor Babes,Nr. 27,Timisoara,Timis,,Mihai
Policlinica Elga Craiova,"Str. Mihai Eminescu Nr. 2 si Nr. 32Dolj, Craiova",Str. Mihai Eminescu,Nr. 2,Craiova,Dolj,si Nr. 32,Mihai
Policlinica Estclinic,"Str. Octav Onicescu Nr. 39Botosani, Botosani",Str. Octav Onicescu,Nr. 39,Botosani,Botosani,,Mihai
Policlinica Joita,"Calea Bucuresti Nr.35Giurgiu, Joita",Calea Bucuresti,Nr. 35,Joita,Giurgiu,,Mihai
Policlinica Lisimed,"Str. Aleea Tineretului Nr. 1DOlt, Slatina",Str. Aleea Tineretului,Nr. 1D,Slatina,Olt,,Mihai
Policlinica M###M,"Str. Dr. Nicolae Ionescu-Sisesti Nr. 19ADolj, Craiova",Str. Dr. Nicolae Ionescu-Sisesti,Nr. 19A,Craiova,Dolj,,Mihai
Policlinica Marmed,"Str. Matei Corvin Nr. 19Mures, Targu Mures",Str. Matei Corvin,Nr. 19,Targu Mures,Mures,,Mihai
Policlinica Medaura,"Str. Caracal Nr. 50Dolj, Craiova",Str. Caracal,Nr. 50,Craiova,Dolj,,Mihai
Policlinica Medica,"Calea Dumbravii Nr. 107(colt cu str. Aron Pumnul)Sibiu, Sibiu",Calea Dumbravii,Nr. 107(colt,Sibiu,Sibiu,cu str. Aron Pumnul),Mihai
Policlinica Medica,"Calea Dumbravii Nr. 107Sibiu, Sibiu",Calea Dumbravii,Nr. 107,Sibiu,Sibiu,,Mihai
Policlinica Medica Family Center Selimbar,"Strada Doamna Stanca Nr. 13GSibiu, Selimbar",Strada Doamna Stanca,Nr. 13G,Selimbar,Sibiu,,Mihai
Policlinica Pelican - Rogerius,"Str. Corneliu Coposu Nr. 2Bihor, Oradea",Str. Corneliu Coposu,Nr. 2,Oradea,Bihor,,Mihai
Policlinica Poliana - Dorobantilor,Calea Dorobantilor Nr. 58 Sector 1 Bucuresti,Calea Dorobantilor,Nr. 58,Sector 1,Bucuresti,,Mihai
Policlinica Poliana - Marasesti,B-dul Marasesti Nr. 90 Sector 4 Bucuresti,B-dul Marasesti,Nr. 90,Sector 4,Bucuresti,,Mihai
Policlinica Polimed Pucioasa,,,,,,,Mihai
Policlinica Povernei,,,,,,,Mihai
Policlinica Profesmed,"Str. Vasile Conta Nr. 18Iasi, Iasi",Str. Vasile Conta,Nr. 18,Iasi,Iasi,,Mihai
Policlinica Radusan Cluj-Napoca,"B-dul 21 Decembrie 1989 Nr. 131ACluj, Cluj-Napoca",B-dul 21 Decembrie 1989,Nr. 131A,Cluj-Napoca,Cluj,,Mihai
Policlinica Sala Palatului,"Strada Ion Campineanu Nr. 23, Sector 1 Bucuresti",Strada Ion Campineanu,Nr. 23,Sector 1,Bucuresti,,Mihai
Policlinica SalvoSan  Cluj-Napoca,"Str. Victor Babes Nr. 25Cluj, Cluj-Napoca",Str. Victor Babes,Nr. 25,Cluj-Napoca,Cluj,,Mihai
Policlinica Sfantul Ioan - Baia Mare,"Str. Republicii Nr. 30Maramures, Baia Mare",Str. Republicii,Nr. 30,Baia Mare,Maramures,,Mihai
Policlinica Spitalului Romgermed Saint Lukas,Calea Plevnei Nr. 137C sector 6 Bucuresti,Calea Plevnei,Nr. 137C,Sector 6,Bucuresti,,Mihai
Policlinica Sporea Praxis,"Piata Crucii Nr. 7Timis, Timisoara",Piata Crucii,Nr. 7,Timisoara,Timis,,Mihai
Policlinica Tommed,,,,,,,Mihai
Policlinica Veridia,Strada Matei Basarab Nr. 45 Bucuresti,Strada Matei Basarab,Nr. 45,***,Bucuresti,,Mihai
Policlinica Viamed,"Bd. Mihai Viteazu Nr. 8Timis, Timisoara",Bd. Mihai Viteazu,Nr. 8,Timisoara,Timis,,Mihai
Policlinica Visa Medica,"Str. G-ral Magheru Nr. 28Sibiu, Sibiu",Str. G-ral Magheru,Nr. 28,Sibiu,Sibiu,,Mihai
Poli-Med Apaca,Str. Dezrobirii Nr. 13 Bucuresti,Str. Dezrobirii,Nr. 13,***,Bucuresti,,Mihai
Ponderas Academic Hospital,Str. Nicolae Caramfil Nr. 85A sector 1 Bucuresti,Str. Nicolae Caramfil,Nr. 85A,Sector 1,Bucuresti,,Mihai
Premiere Dent,"Str. Harmanului Nr. 74 bl. 246 sc. A ap. 1Brasov, Brasov",Str. Harmanului,Nr. 74,Brasov,Brasov,bl. 246 sc. A ap. 1,Mihai
Premiere Dent,"Str. Mihai Viteazul Nr.1Brasov, Fagaras",Str. Mihai Viteazul,Nr. 1,Fagaras,Brasov,,Mihai
Premium Dent Bucuresti,"Str. Radu Boiangiu, Nr. 22, Sector 1 Bucuresti",Str. Radu Boiangiu,Nr. 22,Sector 1,Bucuresti,,Mihai
Premium Estetic Dental,"Str Calea Bucuresti Nr. et 1 cabinet 3Dolj, Craiova",Str Calea Bucuresti,Nr. et,Craiova,Dolj,1 cabinet 3,Mihai
Pro in Life,,,,,,,Mihai
Pro Life Clinics Anastasie Panu - Iasi,"Str. Anastasie Panu Nr. 28 bl. 2b mezaninIasi, Iasi",Str. Anastasie Panu,Nr. 28,Iasi,Iasi,bl. 2b mezanin,Mihai
Pro Life Clinics Raducaneni,"Iasi, Raducaneni",,,Raducaneni,Iasi,,Mihai
Pro Smile Med,"Str. Bobalna Nr. 81APrahova, Ploiesti",Str. Bobalna,Nr. 81A,Ploiesti,Prahova,,Mihai
Pro Vita,"Str. Teodor Mihali Nr. 38-40 (zona FSEGA)Cluj, Cluj-Napoca",Str. Teodor Mihali,Nr. 38-40,Cluj-Napoca,Cluj,(zona FSEGA),Mihai
Proctoclinic,Str. Frumoasa Nr. 2 et. 1 sector 1 Bucuresti,Str. Frumoasa,Nr. 2,Sector 1,Bucuresti,et. 1,Mihai
Proctoderm,,,,,,,Mihai
Proctoline Baia Mare,"Strada 9 Mai, Nr. 36Maramures, Baia Mare",Strada 9 Mai,Nr. 36,Baia Mare,Maramures,,Mihai
Proctoline Brasov,"Str. Nicolae Iorga, Nr. 16 (vis-a-vis de Parcul Central)Brasov, Brasov",Str. Nicolae Iorga,Nr. 16,Brasov,Brasov,(vis-a-vis de Parcul Cent,Mihai
Proctoline Bucuresti,B-dul Dimitrie Cantemir Nr. 1 Bloc B2 Scara 3 Et 2 Sector 4 Bucuresti,B-dul Dimitrie Cantemir,Nr. 1,Sector 4,Bucuresti,Bloc B2 Scara 3 Et 2,Mihai
Proctoline Constanta,"Bd-ul Tomis, Nr. 142 A, Etaj 2Constanta, Constanta",Bd-ul Tomis,Nr. 142,Constanta,Constanta,"A, Etaj 2",Mihai
Proctoline Craiova,"Str. Aries, Nr. 3Dolj, Craiova",Str. Aries,Nr. 3,Craiova,Dolj,,Mihai
Proctoline Oradea,"Str. Cuza Voda Nr. 61Bihor, Oradea",Str. Cuza Voda,Nr. 61,Oradea,Bihor,,Mihai
Proctoline Piatra Neamt,"Str. Lamaitei, Nr. 22Neamt, Piatra Neamt",Str. Lamaitei,Nr. 22,Piatra Neamt,Neamt,,Mihai
Proctoline Ramnicu Valcea,"Str. Calea lui Traian, Nr. 148 AReper - Statia Elegant CalimanestiValcea, Ramnicu Valcea",Str. Calea lui Traian,Nr. 148,Ramnicu Valcea,Valcea,AReper - Statia Elegant C,Mihai
Proctoline Sibiu,"Str. Calugareni, Nr. 23Sibiu, Sibiu",Str. Calugareni,Nr. 23,Sibiu,Sibiu,,Mihai
Proctoline Targu Mures,"Str. Revolutiei Nr. 8Mures, Targu Mures",Str. Revolutiei,Nr. 8,Targu Mures,Mures,,Mihai
Proctoline Timisoara,"Blvd. Simion Barnutiu, Nr. 7Timis, Timisoara",Blvd. Simion Barnutiu,Nr. 7,Timisoara,Timis,,Mihai
Proctoline Tulcea,"Str. Isaccei, Nr. 31-34, Etaj 1Tulcea, Tulcea",Str. Isaccei,Nr. 31-34,Tulcea,Tulcea,Etaj 1,Mihai
Proctoline Vaslui - Medical On Group,"Blvd. Traian, Nr. 100Vaslui, Vaslui",Blvd. Traian,Nr. 100,Vaslui,Vaslui,,Mihai
Prodent Care,Calea Rahovei Nr. 251-253 sector 5 Bucuresti,Calea Rahovei,Nr. 251-253,Sector 5,Bucuresti,,Mihai
ProDent Clinic,Sos Nordului Nr. 60 Bucuresti,Sos Nordului,Nr. 60,***,Bucuresti,,Mihai
Professional Klinic,Str Agricultori Nr. 115 bloc 79 Parter Sector 3 Bucuresti,Str Agricultori,Nr. 115,Sector 3,Bucuresti,bloc 79 Parter,Mihai
Profiladent,"Str Aleea Barajul Dunarii Nr. 10 bl M8A, interfon 01 Bucuresti",Str Aleea Barajul Dunarii,Nr. 10,***,Bucuresti,"bl M8A, interfon 01",Mihai
Profilaxis Spital de zi,"Calea Martirilor Nr.1 Corp B+C, etaj 4Timis, Timisoara",Calea Martirilor,Nr. 1,Timisoara,Timis,"Corp B+C, etaj 4",Mihai
ProfMedica,Str. Sfantul Elefterie Nr. 53 Etj. 1 Sector 5 Bucuresti,Str. Sfantul Elefterie,Nr. 53,Sector 5,Bucuresti,Etj. 1,Mihai
ProLife Medical,"Str Republicii Nr. 185Vaslui, Barlad",Str Republicii,Nr. 185,Barlad,Vaslui,,Mihai
ProLife Medical Barlad,"Dr. Codrescu Nr. 3Vaslui, Barlad",Dr. Codrescu,Nr. 3,Barlad,Vaslui,,Mihai
ProLife Medical Laborator,"Str Emil Garleanu Nr. 5Vaslui, Barlad",Str Emil Garleanu,Nr. 5,Barlad,Vaslui,,Mihai
Promedica Laborator  Tulcea,,,,,,,Mihai
Promedical Center,"Str. Caisului Nr. 16Cluj, Cluj-Napoca",Str. Caisului,Nr. 16,Cluj-Napoca,Cluj,,Mihai
Pronia,Str. Aviator Petre Cretu Nr. 20A (zona Piata Domenii) Sector 1 Bucuresti,Str. Aviator Petre Cretu,Nr. 20A,Sector 1,Bucuresti,(zona Piata Domenii),Mihai
Prosana Medical Center,"Str. Ion Ratiu Nr. 113Constanta, Constanta",Str. Ion Ratiu,Nr. 113,Constanta,Constanta,,Mihai
Provisan Policlinica Reghin,"STR. Mihai Viteazu, Nr. 105Mures, Reghin",STR. Mihai Viteazu,Nr. 105,Reghin,Mures,,Mihai
Pro-Vitam Sf. Gheorghe,"Str. Muncitorilor Nr. 16Covasna, Sfantu Gheorghe",Str. Muncitorilor,Nr. 16,Sfantu Gheorghe,Covasna,,Mihai
Proxima,,,,,,,Mihai
PsihoAsis,"Str. Sabinelor, Nr. 79, bloc cu 4 nivele, parter, interfon 1 Bucuresti",Str. Sabinelor,Nr. 79,***,Bucuresti,"bloc cu 4 nivele, parter",Mihai
Psihoterapeut Luminita Codrescu,"Zona Mall Grant Cringasi (eMag),  Sector 6 Bucuresti",Zona Mall Grant Cringasi (eMag),,Sector 6,Bucuresti,,Mihai
PsyLife Aurel Vlaicu,"Strada Aurel Vlaicu, Nr. 182, Ap 1, ParterCluj, Cluj-Napoca",Strada Aurel Vlaicu,Nr. 182,Cluj-Napoca,Cluj,"Ap 1, Parter",Mihai
PsyLife Grigorescu,"Str. Eremia Grigorescu Nr. 126 ap. 14Cluj, Cluj-Napoca",Str. Eremia Grigorescu,Nr. 126,Cluj-Napoca,Cluj,ap. 14,Mihai
PsyLife Marasti,"Strada Intre Lacuri Nr. 20 Ap P01 ParterCluj, Cluj-Napoca",Strada Intre Lacuri,Nr. 20,Cluj-Napoca,Cluj,Ap P01 Parter,Mihai
Puls Medica - Teiul Doamnei,Str. Teiul Doamnei Nr. 2 sector 2 Bucuresti,Str. Teiul Doamnei,Nr. 2,Sector 2,Bucuresti,,Mihai
Puls Medica - Turda,str. Turda Nr. 127 sector 1 Bucuresti,str. Turda,Nr. 127,Sector 1,Bucuresti,,Mihai
Punct de recoltare Lotus Med,,,,,,,Mihai
Punct de recoltare Lotus Med,,,,,,,Mihai
Punct de recoltare Medinvest Buzau,"Str. Dorobanti, Nr.Buzau, Buzau",Str. Dorobanti,Nr.,Buzau,Buzau,,Mihai
Punct de recoltare Medinvest Nehoiu,"Str. Alexandru I. Cuza Buzau, Nehoiu",Str. Alexandru I. Cuza,,Nehoiu,Buzau,,Mihai
Punct de recoltare Professional Klinic,"Calea Calarasilor Nr. 175bloc 44, Sc. 3, Ap. 68, Parter, Interfon 68, Sector 2 Bucuresti",Calea Calarasilor,Nr. 175bloc,Sector 2,Bucuresti,"44, Sc. 3, Ap. 68, Parter",Mihai
Punct de recoltare Sfanta Maria - Adjud,"Str. Siret Nr. 1Vrancea, Adjud",Str. Siret,Nr. 1,Adjud,Vrancea,,Mihai
Punct de recoltare Sfanta Maria - Alexandria,"Str. Dunarii  bl .125 sc. A ap. 1 parterTeleorman, Alexandria",Str. Dunarii,,Alexandria,Teleorman,bl .125 sc. A ap. 1 parte,Mihai
Punct de recoltare Sfanta Maria - Calafat,"Str. Calea Traian  bl. B4Dolj, Calafat",Str. Calea Traian,,Calafat,Dolj,bl. B4,Mihai
Punct de recoltare Sfanta Maria - Dezrobirii,Str. Dezrobirii Nr. 43 bl. P19 Parter Sector 6 Bucuresti,Str. Dezrobirii,Nr. 43,Sector 6,Bucuresti,bl. P19 Parter,Mihai
Punct de recoltare Sfanta Maria - Focsani,"Str. Cuza Voda Nr. 5-7Vrancea, Focsani",Str. Cuza Voda,Nr. 5-7,Focsani,Vrancea,,Mihai
Punct de recoltare Sfanta Maria - Gara de Nord,Str. Piata Garii de Nord Nr. 1-3 Sector 1 Bucuresti,Str. Piata Garii de Nord,Nr. 1-3,Sector 1,Bucuresti,,Mihai
Punct de recoltare Sfanta Maria - Giurgiu,"Str. Independentei  bl. 107Giurgiu, Giurgiu",Str. Independentei,,Giurgiu,Giurgiu,bl. 107,Mihai
Punct de recoltare Sfanta Maria - Nada Florilor,Str. Nada Florilor Nr. 1A sector 2 Bucuresti,Str. Nada Florilor,Nr. 1A,Sector 2,Bucuresti,,Mihai
Punct de recoltare Sfanta Maria - Pantelimon,Sos. Pantelimon Nr. 293 sector 2 Bucuresti,Sos. Pantelimon,Nr. 293,Sector 2,Bucuresti,,Mihai
Punct de recoltare Sfanta Maria - Sebastian,Str. Mihail Sebastian Nr. 11 Sector 5 Bucuresti,Str. Mihail Sebastian,Nr. 11,Sector 5,Bucuresti,,Mihai
Punct de recoltare Sfanta Maria - Titan ( Anima),Str. Nicolae Grigorescu Nr. 41 sector 3 Bucuresti,Str. Nicolae Grigorescu,Nr. 41,Sector 3,Bucuresti,,Mihai
Punct de recoltare Sfanta Maria Bacau,"Bulevardul Traian Nr. 90 bl. M36Neamt, Piatra Neamt",Bulevardul Traian,Nr. 90,Piatra Neamt,Neamt,bl. M36,Mihai
Punct de recoltare Sfanta Maria -Ploiesti,"Bd. Republicii Nr. 197 ParterPrahova, Ploiesti",Bd. Republicii,Nr. 197,Ploiesti,Prahova,Parter,Mihai
Punct de recoltare Sfanta Maria Targoviste,"Str. Iancu Jianu Nr. 15Dambovita, Targoviste",Str. Iancu Jianu,Nr. 15,Targoviste,Dambovita,,Mihai
Q Clinic,"Str. Constantin Brancusi Nr. 117Cluj, Cluj-Napoca",Str. Constantin Brancusi,Nr. 117,Cluj-Napoca,Cluj,,Mihai
Q Med,Str. Iarba Campului Nr. 2 et. 1 sector 4 Bucuresti,Str. Iarba Campului,Nr. 2,Sector 4,Bucuresti,et. 1,Mihai
Q Med Brancoveanu,"Str Iarba Campului Nr. 2, Parter Bucuresti",Str Iarba Campului,Nr. 2,***,Bucuresti,Parter,Mihai
Q Med Popesti,"Strada Oltenitei Nr. 66, Etaj 1 si 2Ilfov, Popesti-Leordeni",Strada Oltenitei,Nr. 66,Popesti-Leordeni,Ilfov,Etaj 1 si 2,Mihai
Q Med Radiologie,Strada Petrolului Nr. 2A Bucuresti,Strada Petrolului,Nr. 2A,***,Bucuresti,,Mihai
Q Med Resita,Str Resita Nr. 37 Bl A5 Sc J Ap 136 Sector 4 Bucuresti,Str Resita,Nr. 37,Sector 4,Bucuresti,Bl A5 Sc J Ap 136,Mihai
Q Med Stoma Care,"Str Imparatul Traian Nr. 9 Bl B9, Sc A Ap 4 Bucuresti",Str Imparatul Traian,Nr. 9,***,Bucuresti,"Bl B9, Sc A Ap 4",Mihai
Rabbit Dent,"Str. Zorelelor Nr. 64Constanta, Constanta",Str. Zorelelor,Nr. 64,Constanta,Constanta,,Mihai
Radiologia 1 Dumbravei - Pitesti,"Str. Dumbravei Nr. 48Arges, Pitesti",Str. Dumbravei,Nr. 48,Pitesti,Arges,,Mihai
Radiologia 1 Republicii - Pitesti,"B-dul Republicii Nr. 35 bl. 35 sc. A ap. 4 parterArges, Pitesti",B-dul Republicii,Nr. 35,Pitesti,Arges,bl. 35 sc. A ap. 4 parter,Mihai
Radiologica Plus,"Str. Romulus Nr. 34ATimis, Timisoara",Str. Romulus,Nr. 34A,Timisoara,Timis,,Mihai
Radusan Cluj-Napoca,"Str. Constanta Nr. 8 bisCluj, Cluj-Napoca",Str. Constanta,Nr. 8,Cluj-Napoca,Cluj,bis,Mihai
Rasmin Dent,Str. Petre Ispirescu Nr. 2 sector 5 Bucuresti,Str. Petre Ispirescu,Nr. 2,Sector 5,Bucuresti,,Mihai
Recover Recuperare Medicala,Magura Vulturului Nr. 34 Bucuresti,Magura Vulturului,Nr. 34,***,Bucuresti,,Mihai
Regina Maria - Campus Medical Bacau,"Calea Romanului Nr. 39Bacau, Bacau",Calea Romanului,Nr. 39,Bacau,Bacau,,Mihai
